Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
Casablanca,Anfa,Renault,Clio,2019,25 000 - 29 999,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,101000
Agadir,,Toyota,Land Cruiser,2002,200 000 - 249 999,Diesel,12,Automatique,3,Dédouanée,Oui,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,100000
Mohammedia,,Renault,Kangoo,2011,200 000 - 249 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,87000
Casablanca,2 Mars,Fiat,500,2009,110 000 - 119 999,Diesel,6,Manuelle,3,WW au Maroc,Non,Très bon,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,78000
Agadir,Le centre-ville,Volkswagen,Polo,2018,20 000 - 24 999,Essence,6,Manuelle,5,WW au Maroc,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,145000
Fès,,Renault,Megane 3,2016,80 000 - 84 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,115000
Rabat,,Opel,Astra,2016,140 000 - 149 999,Diesel,8,Automatique,5,WW au Maroc,,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,146000
Ouarzazate,Toute la ville,Dacia,Duster,2017,50 000 - 54 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,150000
Casablanca,Oulfa,Dacia,Logan,2012,130 000 - 139 999,Diesel,6,Manuelle,,WW au Maroc,Non,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65000
Oujda,,Toyota,VERSO,2008,300 000 - 349 999,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,72000
Imouzzer-Kendar,,Citroen,C3,2014,190 000 - 199 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,75000
Khénifra,Toute la ville,Renault,Megane 4,2017,170 000 - 179 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,140000
Temara,Massira 1,Hyundai,Elantra,2019,70 000 - 74 999,Diesel,6,Automatique,5,WW au Maroc,Non,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,168000
Temara,Massira 1,Nissan,Qashqai,2015,120 000 - 129 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,155000
Mohammedia,Autre secteur,Volkswagen,GOLF 7,2015,170 000 - 179 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,148000
Agadir,Haut-Founty,Skoda,Octavia,2013,170 000 - 179 999,Diesel,8,Automatique,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,130000
Kénitra,,Dacia,Sandero,2012,160 000 - 169 999,Diesel,6,Automatique,5,,Non,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,76000
Marrakech,,Mercedes-Benz,220,2001,10 000 - 14 999,Diesel,11,Manuelle,5,Dédouanée,Non,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,90000
El Jadida,,Renault,Kangoo,2016,160 000 - 169 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113000
Fès,,Volkswagen,GOLF 5,2008,200 000 - 249 999,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,107000
Meknès,,Peugeot,206+,2010,95 000 - 99 999,Essence,6,Manuelle,5,WW au Maroc,Non,Excellent,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62000
Safi,,Peugeot,Tepee,2010,180 000 - 189 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,98000
Casablanca,Sidi Maarouf,Mercedes-Benz,Classe C,2008,90 000 - 94 999,Diesel,8,Manuelle,,Dédouanée,Oui,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,125000
Agadir,,Renault,Scenic,2005,190 000 - 199 999,Diesel,6,Manuelle,5,WW au Maroc,,Bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65000
Fès,,Dacia,Logan,2013,170 000 - 179 999,Diesel,7,Manuelle,5,WW au Maroc,Oui,Très bon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,65000
Agadir,,Skoda,Octavia,2008,160 000 - 169 999,Diesel,8,Manuelle,5,WW au Maroc,Oui,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,85000
Casablanca,Aïn Sebaâ,Renault,Master,2019,25 000 - 29 999,Diesel,9,Manuelle,5,Importée neuve,Oui,Très bon,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,195000
Tanger,Centre ville,Audi,Q5,2015,100 000 - 109 999,Diesel,6,Automatique,5,Importée neuve,Oui,Excellent,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,243500
